Year,Company,Category,Currency,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income,Pre-tax Income,Taxes,Net Income,Total Assets,Current Assets,Total Liabilities,Current Liabilities,Share Holder Equity,Cash,Debt,Beginning Cash,Ending Cash,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Earning Per Share,EBITDA
2020,Beacon Partners,ENERGY,USD,11118.0,8683.0,2435.0,1283.0,1152.0,1078.0,270.0,808.0,45453.0,18857.0,19811.0,9100.0,25642.0,7146.0,14266.0,6597.0,7146.0,982.0,-302.0,-131.0,0.43,1851.0
2021,Beacon Partners,ENERGY,USD,12589.0,9415.0,3174.0,1751.0,1423.0,1376.0,344.0,1032.0,45799.0,16242.0,19396.0,7753.0,26403.0,7727.0,13924.0,7146.0,7727.0,1186.0,-283.0,-322.0,0.55,2062.0
2022,Beacon Partners,ENERGY,USD,13101.0,10669.0,2432.0,1248.0,1184.0,1113.0,278.0,835.0,47333.0,16950.0,19956.0,7534.0,27377.0,8092.0,12255.0,7727.0,8092.0,985.0,-428.0,-192.0,0.45,1788.0
2023,Beacon Partners,ENERGY,USD,13763.0,10307.0,3456.0,1575.0,1881.0,1781.0,445.0,1336.0,47481.0,13558.0,19523.0,10002.0,27958.0,9009.0,8845.0,8092.0,9009.0,1663.0,-375.0,-371.0,0.72,2560.0
2016,Cobalt Enterprises,IT,USD,70800.0,41963.0,28837.0,17386.0,11451.0,10847.0,2712.0,8135.0,30200.0,11990.0,18800.0,7605.0,11400.0,8690.0,12778.0,5700.0,8690.0,8684.0,-4649.0,-1045.0,3.62,15658.0
2017,Cobalt Enterprises,IT,USD,66891.0,41426.0,25465.0,13507.0,11958.0,11144.0,2786.0,8358.0,36586.0,9846.0,18815.0,8299.0,17771.0,11078.0,9061.0,8690.0,11078.0,10435.0,-5929.0,-2118.0,3.72,15783.0
2018,Cobalt Enterprises,IT,USD,75287.0,44214.0,31073.0,15898.0,15175.0,14026.0,3506.0,10520.0,43965.0,13965.0,18004.0,9064.0,25961.0,14132.0,9880.0,11078.0,14132.0,11322.0,-5458.0,-2810.0,4.68,18269.0
2019,Cobalt Enterprises,IT,USD,88062.0,56160.0,31902.0,18710.0,13192.0,12845.0,3211.0,9634.0,51317.0,19810.0,17848.0,6594.0,33469.0,16946.0,12074.0,14132.0,16946.0,12330.0,-6132.0,-3384.0,4.29,19845.0
2020,Cobalt Enterprises,IT,USD,93996.0,58561.0,35435.0,23114.0,12321.0,12028.0,3007.0,9021.0,59614.0,24258.0,17999.0,6810.0,41615.0,16519.0,11078.0,16946.0,16519.0,11794.0,-6872.0,-5349.0,4.02,17623.0
2021,Cobalt Enterprises,IT,USD,96710.0,60921.0,35789.0,20281.0,15508.0,14843.0,3711.0,11132.0,67061.0,30019.0,18898.0,6510.0,48163.0,22915.0,12755.0,16519.0,22915.0,13066.0,-3103.0,-3567.0,4.96,18813.0
2022,Cobalt Enterprises,IT,USD,108732.0,70127.0,38605.0,24361.0,14244.0,13786.0,3446.0,10340.0,75654.0,27055.0,20700.0,8996.0,54954.0,18290.0,14115.0,22915.0,18290.0,9537.0,-8382.0,-5780.0,4.6,18159.0
2023,Cobalt Enterprises,IT,USD,122379.0,75164.0,47215.0,26569.0,20646.0,20197.0,5049.0,15148.0,81792.0,32949.0,20363.0,7215.0,61429.0,20024.0,12317.0,18290.0,20024.0,13644.0,-4831.0,-7079.0,6.74,29565.0
2016,Pinnacle Technologies,LOGISTICS,USD,61700.0,48429.0,13271.0,7331.0,5940.0,5724.0,1431.0,4293.0,20600.0,8217.0,2900.0,887.0,17700.0,9353.0,1864.0,7850.0,9353.0,5443.0,-2507.0,-1433.0,14.41,8013.0
2017,Pinnacle Technologies,LOGISTICS,USD,62571.0,46954.0,15617.0,7355.0,8262.0,7703.0,1926.0,5777.0,24793.0,6295.0,3228.0,1742.0,21565.0,11158.0,1976.0,9353.0,11158.0,6320.0,-1577.0,-2938.0,19.39,11587.0
2018,Pinnacle Technologies,LOGISTICS,USD,65711.0,51444.0,14267.0,8678.0,5589.0,5279.0,1320.0,3959.0,30027.0,11395.0,3464.0,1615.0,26563.0,9560.0,2011.0,11158.0,9560.0,5021.0,-5506.0,-1113.0,13.29,7897.0
2019,Pinnacle Technologies,LOGISTICS,USD,77462.0,60852.0,16610.0,11608.0,5002.0,4900.0,1225.0,3675.0,33371.0,9217.0,3481.0,1635.0,29890.0,8720.0,2020.0,9560.0,8720.0,3955.0,-2434.0,-2361.0,12.33,10616.0
2020,Pinnacle Technologies,LOGISTICS,USD,81048.0,63150.0,17898.0,11073.0,6825.0,6498.0,1624.0,4874.0,36659.0,11003.0,3660.0,1726.0,32999.0,11454.0,2528.0,8720.0,11454.0,6999.0,-3016.0,-1249.0,16.36,12200.0
2021,Pinnacle Technologies,LOGISTICS,USD,83457.0,62436.0,21021.0,10611.0,10410.0,9642.0,2410.0,7232.0,40370.0,12772.0,3788.0,1582.0,36582.0,12168.0,1946.0,11454.0,12168.0,8776.0,-4176.0,-3886.0,24.27,13383.0
2022,Pinnacle Technologies,LOGISTICS,USD,96280.0,73045.0,23235.0,12150.0,11085.0,10574.0,2644.0,7930.0,45153.0,11766.0,3579.0,1430.0,41574.0,10575.0,1647.0,12168.0,10575.0,7755.0,-7856.0,-1492.0,26.61,16601.0
2023,Pinnacle Technologies,LOGISTICS,USD,105879.0,82552.0,23327.0,16772.0,6555.0,6177.0,1544.0,4633.0,52689.0,23003.0,3669.0,1961.0,49020.0,6060.0,2467.0,10575.0,6060.0,4376.0,-5176.0,-3715.0,15.55,14250.0
2016,Cascade Enterprises,MANUFACTURING,USD,31200.0,21403.0,9797.0,5363.0,4434.0,4192.0,1048.0,3144.0,16900.0,6513.0,5400.0,2793.0,11500.0,6641.0,3793.0,6750.0,6641.0,3226.0,-2416.0,-919.0,1.28,6752.0
2017,Cascade Enterprises,MANUFACTURING,USD,34722.0,24241.0,10481.0,5033.0,5448.0,5212.0,1303.0,3909.0,19396.0,8034.0,5604.0,2793.0,13792.0,8687.0,3307.0,6641.0,8687.0,4415.0,-902.0,-1467.0,1.6,7318.0
2018,Cascade Enterprises,MANUFACTURING,USD,37185.0,27145.0,10040.0,5265.0,4775.0,4510.0,1128.0,3382.0,22895.0,7077.0,5406.0,2627.0,17489.0,11366.0,3151.0,8687.0,11366.0,4148.0,-840.0,-629.0,1.38,7130.0
2019,Cascade Enterprises,MANUFACTURING,USD,35373.0,25011.0,10362.0,5538.0,4824.0,4599.0,1150.0,3449.0,24978.0,9277.0,5273.0,2543.0,19705.0,12579.0,2638.0,11366.0,12579.0,4691.0,-2710.0,-768.0,1.41,6795.0
2020,Cascade Enterprises,MANUFACTURING,USD,33449.0,24795.0,8654.0,4365.0,4289.0,4129.0,1032.0,3097.0,27422.0,10426.0,5182.0,2576.0,22240.0,13488.0,2387.0,12579.0,13488.0,3050.0,-1564.0,-577.0,1.26,5854.0
2021,Cascade Enterprises,MANUFACTURING,USD,34715.0,25053.0,9662.0,6297.0,3365.0,3077.0,769.0,2308.0,30266.0,11903.0,5880.0,3009.0,24386.0,13897.0,3267.0,13488.0,13897.0,2754.0,-975.0,-1370.0,0.94,5578.0
2022,Cascade Enterprises,MANUFACTURING,USD,33574.0,24671.0,8903.0,4859.0,4044.0,3805.0,951.0,2854.0,32883.0,13705.0,6282.0,2558.0,26601.0,14594.0,3732.0,13897.0,14594.0,3635.0,-1093.0,-1845.0,1.16,5687.0
2023,Cascade Enterprises,MANUFACTURING,USD,39883.0,28239.0,11644.0,6467.0,5177.0,5021.0,1255.0,3766.0,36154.0,15555.0,7055.0,2674.0,29099.0,15493.0,5181.0,14594.0,15493.0,5064.0,-2983.0,-1182.0,1.54,7058.0
2016,Orion Corporation,PHARMA,USD,43100.0,23687.0,19413.0,11581.0,7832.0,7483.0,1871.0,5612.0,31300.0,14069.0,9000.0,3396.0,22300.0,5163.0,4452.0,1500.0,5163.0,5318.0,-1130.0,-525.0,2.0,10870.0
2017,Orion Corporation,PHARMA,USD,47394.0,27220.0,20174.0,12900.0,7274.0,6975.0,1744.0,5231.0,34915.0,12534.0,8643.0,3212.0,26272.0,8558.0,4998.0,5163.0,8558.0,7230.0,-2034.0,-1801.0,1.86,9346.0
2018,Orion Corporation,PHARMA,USD,51768.0,30293.0,21475.0,15031.0,6444.0,6128.0,1532.0,4596.0,39608.0,11115.0,8149.0,3590.0,31459.0,8047.0,3752.0,8558.0,8047.0,4366.0,-2111.0,-2766.0,1.64,8817.0
2019,Orion Corporation,PHARMA,USD,61453.0,31812.0,29641.0,15710.0,13931.0,13129.0,3282.0,9847.0,43859.0,18234.0,8122.0,2509.0,35737.0,16156.0,5224.0,8047.0,16156.0,12531.0,-3171.0,-1251.0,3.5,15936.0
2020,Orion Corporation,PHARMA,USD,61306.0,32358.0,28948.0,15540.0,13408.0,12635.0,3159.0,9476.0,51161.0,14215.0,7630.0,2896.0,43531.0,20465.0,4088.0,16156.0,20465.0,8564.0,-1379.0,-2876.0,3.37,15717.0
2021,Orion Corporation,PHARMA,USD,66930.0,38685.0,28245.0,17931.0,10314.0,9669.0,2417.0,7252.0,61321.0,18152.0,8366.0,4276.0,52955.0,26438.0,5211.0,20465.0,26438.0,9206.0,-2527.0,-706.0,2.58,12908.0
2022,Orion Corporation,PHARMA,USD,72542.0,40951.0,31591.0,20100.0,11491.0,10724.0,2681.0,8043.0,65299.0,21384.0,7949.0,4269.0,57350.0,29366.0,4861.0,26438.0,29366.0,10462.0,-5565.0,-1969.0,2.86,16791.0
2023,Orion Corporation,PHARMA,USD,86149.0,49801.0,36348.0,24848.0,11500.0,10539.0,2635.0,7904.0,72880.0,30544.0,8402.0,2614.0,64478.0,31013.0,4933.0,29366.0,31013.0,11075.0,-5218.0,-4210.0,2.81,16623.0
2016,Ardent Holdings,RETAIL,USD,7600.0,5834.0,1766.0,1471.0,295.0,272.0,68.0,204.0,49900.0,18007.0,20000.0,8183.0,29900.0,2786.0,14655.0,3100.0,2786.0,293.0,-405.0,-202.0,0.12,694.0
2017,Ardent Holdings,RETAIL,USD,7851.0,5794.0,2057.0,1548.0,509.0,484.0,121.0,363.0,48696.0,19395.0,18666.0,5907.0,30030.0,2519.0,11435.0,2786.0,2519.0,351.0,-179.0,-439.0,0.21,1033.0
2018,Ardent Holdings,RETAIL,USD,8568.0,6310.0,2258.0,1320.0,938.0,890.0,222.0,668.0,50942.0,15978.0,20590.0,7316.0,30352.0,2769.0,13464.0,2519.0,2769.0,903.0,-373.0,-280.0,0.38,1423.0
2019,Ardent Holdings,RETAIL,USD,8634.0,6446.0,2188.0,1364.0,824.0,771.0,193.0,578.0,50231.0,19726.0,19299.0,9462.0,30932.0,2814.0,11212.0,2769.0,2814.0,539.0,-307.0,-187.0,0.33,1468.0
2020,Ardent Holdings,RETAIL,USD,9673.0,7054.0,2619.0,1536.0,1083.0,1057.0,264.0,793.0,50169.0,18307.0,18867.0,6430.0,31302.0,3333.0,12904.0,2814.0,3333.0,1119.0,-213.0,-387.0,0.45,1641.0
2021,Ardent Holdings,RETAIL,USD,10324.0,7708.0,2616.0,2035.0,581.0,558.0,140.0,418.0,52845.0,20545.0,20996.0,7405.0,31849.0,2978.0,12448.0,3333.0,2978.0,461.0,-564.0,-252.0,0.24,1326.0
2022,Ardent Holdings,RETAIL,USD,12352.0,9328.0,3024.0,2417.0,607.0,583.0,146.0,437.0,55016.0,20991.0,22837.0,10835.0,32179.0,3108.0,11978.0,2978.0,3108.0,577.0,-319.0,-128.0,0.25,1070.0
2023,Ardent Holdings,RETAIL,USD,14498.0,10276.0,4222.0,2604.0,1618.0,1582.0,396.0,1186.0,56969.0,19661.0,24498.0,10721.0,32471.0,3197.0,15848.0,3108.0,3197.0,1039.0,-479.0,-471.0,0.68,2313.0
2016,Ironwood Industries,BANKING,USD,50800.0,24050.0,26750.0,15389.0,11361.0,10548.0,2637.0,7911.0,38900.0,14553.0,22600.0,10605.0,16300.0,13640.0,15996.0,7150.0,13640.0,11127.0,-2743.0,-1894.0,13.83,13440.0
2017,Ironwood Industries,BANKING,USD,56778.0,25330.0,31448.0,19187.0,12261.0,11312.0,2828.0,8484.0,47678.0,13317.0,24499.0,13471.0,23179.0,21193.0,13012.0,13640.0,21193.0,11853.0,-3597.0,-703.0,14.83,14031.0
2018,Ironwood Industries,BANKING,USD,57623.0,28042.0,29581.0,16407.0,13174.0,12613.0,3153.0,9460.0,54877.0,24499.0,26219.0,10787.0,28658.0,27678.0,18925.0,21193.0,27678.0,9242.0,-1406.0,-1351.0,16.54,15530.0
2019,Ironwood Industries,BANKING,USD,58558.0,29706.0,28852.0,16917.0,11935.0,11053.0,2763.0,8290.0,66631.0,24123.0,29486.0,10060.0,37145.0,32940.0,14263.0,27678.0,32940.0,8130.0,-1193.0,-1675.0,14.49,15623.0
2020,Ironwood Industries,BANKING,USD,63650.0,28356.0,35294.0,21091.0,14203.0,13782.0,3446.0,10336.0,76333.0,29947.0,31534.0,13616.0,44799.0,42490.0,17748.0,32940.0,42490.0,13178.0,-2928.0,-700.0,18.07,16373.0
2021,Ironwood Industries,BANKING,USD,66225.0,29445.0,36780.0,21745.0,15035.0,13760.0,3440.0,10320.0,84339.0,37345.0,32479.0,15085.0,51860.0,49061.0,15457.0,42490.0,49061.0,12113.0,-4589.0,-953.0,18.04,19095.0
2022,Ironwood Industries,BANKING,USD,69491.0,31291.0,38200.0,20868.0,17332.0,16560.0,4140.0,12420.0,90608.0,25970.0,30894.0,16555.0,59714.0,57069.0,15442.0,49061.0,57069.0,13071.0,-1444.0,-3619.0,21.71,22891.0
2023,Ironwood Industries,BANKING,USD,78398.0,40693.0,37705.0,23775.0,13930.0,13265.0,3316.0,9949.0,101720.0,30218.0,31438.0,16421.0,70282.0,59235.0,16574.0,57069.0,59235.0,11253.0,-5941.0,-3146.0,17.39,16742.0
2016,Thornhill Holdings,ENERGY,USD,19100.0,15625.0,3475.0,1761.0,1714.0,1636.0,409.0,1227.0,47100.0,13240.0,26100.0,13511.0,21000.0,543.0,13161.0,1250.0,543.0,1221.0,-1046.0,-882.0,1.55,2371.0
2017,Thornhill Holdings,ENERGY,USD,20503.0,15939.0,4564.0,1740.0,2824.0,2646.0,662.0,1984.0,47797.0,13109.0,26037.0,13158.0,21760.0,29.0,11867.0,543.0,29.0,2220.0,-1574.0,-1160.0,2.51,4091.0
2018,Thornhill Holdings,ENERGY,USD,22421.0,17730.0,4691.0,2279.0,2412.0,2327.0,582.0,1745.0,50363.0,19789.0,27109.0,13142.0,23254.0,-1489.0,13845.0,29.0,-1489.0,1538.0,-1711.0,-1345.0,2.21,3947.0
2019,Thornhill Holdings,ENERGY,USD,24504.0,19860.0,4644.0,2422.0,2222.0,2058.0,514.0,1544.0,54600.0,22621.0,29833.0,11144.0,24767.0,-1766.0,16335.0,-1489.0,-1766.0,1370.0,-1199.0,-448.0,1.95,4005.0
2020,Thornhill Holdings,ENERGY,USD,24777.0,19807.0,4970.0,3130.0,1840.0,1727.0,432.0,1295.0,54250.0,14753.0,27993.0,10818.0,26257.0,-2136.0,18989.0,-1766.0,-2136.0,1829.0,-1118.0,-1081.0,1.64,3763.0
2021,Thornhill Holdings,ENERGY,USD,25537.0,19960.0,5577.0,2059.0,3518.0,3415.0,854.0,2561.0,55622.0,16139.0,28179.0,10428.0,27443.0,-908.0,15445.0,-2136.0,-908.0,2401.0,-567.0,-606.0,3.24,5131.0
2022,Thornhill Holdings,ENERGY,USD,31095.0,23694.0,7401.0,3960.0,3441.0,3161.0,790.0,2371.0,57775.0,17039.0,28311.0,13993.0,29464.0,-1490.0,20110.0,-908.0,-1490.0,2824.0,-2717.0,-689.0,3.0,5132.0
2023,Thornhill Holdings,ENERGY,USD,37849.0,29507.0,8342.0,4341.0,4001.0,3784.0,946.0,2838.0,62369.0,17218.0,31316.0,12250.0,31053.0,-332.0,17473.0,-1490.0,-332.0,2850.0,-879.0,-813.0,3.59,5576.0
2016,Vantage Corporation,IT,USD,46000.0,27899.0,18101.0,9646.0,8455.0,7837.0,1959.0,5878.0,36400.0,11546.0,34800.0,15839.0,1600.0,10889.0,20255.0,8500.0,10889.0,7014.0,-3858.0,-767.0,12.05,10733.0
2017,Vantage Corporation,IT,USD,53802.0,34469.0,19333.0,12420.0,6913.0,6744.0,1686.0,5058.0,44226.0,16538.0,37121.0,18556.0,7105.0,10280.0,26163.0,10889.0,10280.0,4696.0,-2352.0,-2953.0,10.36,8719.0
2018,Vantage Corporation,IT,USD,65060.0,39960.0,25100.0,15549.0,9551.0,8929.0,2232.0,6697.0,50620.0,15654.0,39924.0,18309.0,10696.0,15304.0,29879.0,10280.0,15304.0,9139.0,-2427.0,-1688.0,13.72,12802.0
2019,Vantage Corporation,IT,USD,73627.0,43153.0,30474.0,17227.0,13247.0,12888.0,3222.0,9666.0,53805.0,15407.0,38835.0,16026.0,14970.0,18329.0,18969.0,15304.0,18329.0,13586.0,-6355.0,-4206.0,19.81,15652.0
2020,Vantage Corporation,IT,USD,74160.0,46737.0,27423.0,15050.0,12373.0,12075.0,3019.0,9056.0,66784.0,26395.0,43507.0,21133.0,23277.0,22215.0,21352.0,18329.0,22215.0,11984.0,-6589.0,-1509.0,18.56,16222.0
2021,Vantage Corporation,IT,USD,71988.0,46217.0,25771.0,17972.0,7799.0,7501.0,1875.0,5626.0,74210.0,31578.0,42840.0,22936.0,31370.0,19363.0,26092.0,22215.0,19363.0,4889.0,-4987.0,-2754.0,11.53,12819.0
2022,Vantage Corporation,IT,USD,78578.0,46187.0,32391.0,16470.0,15921.0,15541.0,3885.0,11656.0,83405.0,27315.0,47573.0,17223.0,35832.0,25543.0,30171.0,19363.0,25543.0,16206.0,-6702.0,-3324.0,23.89,19312.0
2023,Vantage Corporation,IT,USD,92884.0,58211.0,34673.0,22464.0,12209.0,11914.0,2978.0,8936.0,95882.0,34139.0,51473.0,24074.0,44409.0,28905.0,34429.0,25543.0,28905.0,12902.0,-6195.0,-3345.0,18.31,15508.0
2016,Ardent Corporation,LOGISTICS,USD,15800.0,12497.0,3303.0,1949.0,1354.0,1273.0,318.0,955.0,63600.0,20314.0,47100.0,21499.0,16500.0,425.0,27256.0,900.0,425.0,1060.0,-1072.0,-463.0,0.81,2481.0
2017,Ardent Corporation,LOGISTICS,USD,17978.0,13227.0,4751.0,2087.0,2664.0,2430.0,608.0,1822.0,61430.0,21232.0,44196.0,15717.0,17234.0,1138.0,30450.0,425.0,1138.0,1755.0,-426.0,-616.0,1.55,3379.0
2018,Ardent Corporation,LOGISTICS,USD,19947.0,15479.0,4468.0,2969.0,1499.0,1443.0,361.0,1082.0,64656.0,24650.0,46319.0,20488.0,18337.0,569.0,24847.0,1138.0,569.0,930.0,-1205.0,-294.0,0.92,2893.0
2019,Ardent Corporation,LOGISTICS,USD,20684.0,15125.0,5559.0,3267.0,2292.0,2115.0,529.0,1586.0,65420.0,23476.0,46285.0,16675.0,19135.0,1071.0,32482.0,569.0,1071.0,1718.0,-431.0,-785.0,1.35,3919.0
2020,Ardent Corporation,LOGISTICS,USD,20757.0,16315.0,4442.0,2733.0,1709.0,1559.0,390.0,1169.0,63819.0,20686.0,43396.0,23696.0,20423.0,-360.0,26516.0,1071.0,-360.0,1376.0,-1637.0,-1170.0,0.99,3112.0
2021,Ardent Corporation,LOGISTICS,USD,23831.0,18281.0,5550.0,3530.0,2020.0,1865.0,466.0,1399.0,61964.0,18071.0,40827.0,20279.0,21137.0,-537.0,26157.0,-360.0,-537.0,1906.0,-856.0,-1227.0,1.19,3028.0
2022,Ardent Corporation,LOGISTICS,USD,27251.0,21354.0,5897.0,3834.0,2063.0,1897.0,474.0,1423.0,67801.0,24652.0,45775.0,14580.0,22026.0,-1511.0,28296.0,-537.0,-1511.0,1246.0,-720.0,-1500.0,1.21,2977.0
2023,Ardent Corporation,LOGISTICS,USD,32897.0,25131.0,7766.0,5223.0,2543.0,2420.0,605.0,1815.0,67464.0,24312.0,44468.0,16749.0,22996.0,-2552.0,26400.0,-1511.0,-2552.0,2121.0,-1318.0,-1844.0,1.54,4822.0
2016,Halcyon Corporation,MANUFACTURING,USD,29000.0,20685.0,8315.0,5492.0,2823.0,2698.0,674.0,2024.0,42500.0,19111.0,34800.0,17422.0,7700.0,4135.0,17947.0,3850.0,4135.0,2359.0,-1071.0,-1003.0,0.81,4798.0
2017,Halcyon Corporation,MANUFACTURING,USD,30464.0,22346.0,8118.0,4442.0,3676.0,3470.0,868.0,2602.0,45947.0,19014.0,36612.0,11748.0,9335.0,5887.0,17127.0,4135.0,5887.0,3720.0,-1142.0,-826.0,1.04,5185.0
2018,Halcyon Corporation,MANUFACTURING,USD,35102.0,25481.0,9621.0,4870.0,4751.0,4364.0,1091.0,3273.0,51769.0,17294.0,40412.0,13114.0,11357.0,7041.0,24457.0,5887.0,7041.0,3051.0,-1083.0,-814.0,1.31,6753.0
2019,Halcyon Corporation,MANUFACTURING,USD,42518.0,29877.0,12641.0,6309.0,6332.0,6151.0,1538.0,4613.0,52599.0,13863.0,38862.0,21026.0,13737.0,9030.0,18348.0,7041.0,9030.0,4566.0,-1369.0,-1208.0,1.84,9190.0
2020,Halcyon Corporation,MANUFACTURING,USD,48084.0,34449.0,13635.0,7341.0,6294.0,6074.0,1518.0,4556.0,56771.0,22473.0,39764.0,13673.0,17007.0,10168.0,18237.0,9030.0,10168.0,3892.0,-1734.0,-1020.0,1.82,8780.0
2021,Halcyon Corporation,MANUFACTURING,USD,48052.0,34507.0,13545.0,7534.0,6011.0,5819.0,1455.0,4364.0,63029.0,25864.0,41740.0,21435.0,21289.0,12040.0,18895.0,10168.0,12040.0,5711.0,-1563.0,-2276.0,1.74,8245.0
2022,Halcyon Corporation,MANUFACTURING,USD,53957.0,36725.0,17232.0,8625.0,8607.0,8305.0,2076.0,6229.0,63502.0,21298.0,38950.0,13918.0,24552.0,12935.0,20610.0,12040.0,12935.0,6876.0,-3139.0,-2842.0,2.49,11669.0
2023,Halcyon Corporation,MANUFACTURING,USD,64208.0,45055.0,19153.0,11912.0,7241.0,6851.0,1713.0,5138.0,74485.0,22275.0,43758.0,21655.0,30727.0,13360.0,25500.0,12935.0,13360.0,6973.0,-5262.0,-1286.0,2.05,9466.0
2016,Vertex Enterprises,PHARMA,USD,87000.0,45710.0,41290.0,23408.0,17882.0,16313.0,4078.0,12235.0,64000.0,24016.0,46100.0,15966.0,17900.0,6280.0,28617.0,1950.0,6280.0,11505.0,-5881.0,-1294.0,12.04,24724.0
2017,Vertex Enterprises,PHARMA,USD,94134.0,52359.0,41775.0,28819.0,12956.0,12256.0,3064.0,9192.0,77709.0,23903.0,51768.0,23626.0,25941.0,6460.0,30901.0,6280.0,6460.0,10191.0,-8277.0,-1734.0,9.05,19826.0
2018,Vertex Enterprises,PHARMA,USD,93289.0,51926.0,41363.0,24180.0,17183.0,16026.0,4006.0,12020.0,84520.0,30107.0,51872.0,26747.0,32648.0,14460.0,28818.0,6460.0,14460.0,16120.0,-6745.0,-1375.0,11.83,21318.0
2019,Vertex Enterprises,PHARMA,USD,109511.0,62006.0,47505.0,28812.0,18693.0,17854.0,4464.0,13390.0,100991.0,43726.0,58872.0,29741.0,42119.0,14567.0,39001.0,14460.0,14567.0,12356.0,-6514.0,-5735.0,13.18,22332.0
2020,Vertex Enterprises,PHARMA,USD,113779.0,67083.0,46696.0,32302.0,14394.0,13362.0,3340.0,10022.0,116445.0,47436.0,64227.0,32137.0,52218.0,15830.0,40914.0,14567.0,15830.0,8913.0,-5126.0,-2524.0,9.86,21972.0
2021,Vertex Enterprises,PHARMA,USD,123072.0,63523.0,59549.0,33067.0,26482.0,24460.0,6115.0,18345.0,120411.0,39737.0,60026.0,21572.0,60385.0,29983.0,35432.0,15830.0,29983.0,22116.0,-5069.0,-2894.0,18.06,30540.0
2022,Vertex Enterprises,PHARMA,USD,128829.0,76002.0,52827.0,39478.0,13349.0,13042.0,3260.0,9782.0,129640.0,57456.0,55879.0,24519.0,73761.0,25459.0,25270.0,29983.0,25459.0,8515.0,-7038.0,-6001.0,9.63,20310.0
2023,Vertex Enterprises,PHARMA,USD,144083.0,76031.0,68052.0,37747.0,30305.0,29078.0,7270.0,21808.0,141461.0,41750.0,59883.0,19677.0,81578.0,40819.0,28827.0,25459.0,40819.0,24441.0,-7334.0,-1747.0,21.46,40216.0
